report_date,jurisdiction_name,adp_nonsentenced_male,adp_nonsentenced_female,adp_sentenced_male,adp_sentenced_female,adp_total,adp_nonsentenced_felony,adp_sentenced_felony,adp_felony_total,adp_nonsentenced_misdemeanor,adp_sentenced_misdemeanor,adp_misdemeanor_total,date_of_highest_pop,highest_one_day_pop,adp_max_security,adp_med_security,adp_min_security,mental_health_cases_opened_last_day_of_month,new_mental_health_cases_opened_during_this_month,"inmates_receiving_psych_medication,last_day_of_month",inmates_assigned_to_mental_health_beds_last_day_of_month,total_#_seen_at_inmate_sick_call,physician/practitioner_occurrences_this_month,off_site_medical_appointments_this_month,dental_encounters_this_month,total_#_assigned_to_medical_beds_last_day_of_the_month,avg_#_inmates_not_assigned_to_housing,avg_#_in_contract_beds_in_other_public/private_institutions,avg_#_of_federal_inmates_housed_in_your_system_on_contract,avg_#_of_state_inmates_housed_on_contract,avg_#_from_other_counties_housed_on_contract.,avg_#_of_inmates_sent._and_awaiting_transport_to_state_prison,avg_#_of_inmates_in_hospital(s)_outside_of_facilities,total_#_booked,total_#_of_pretrial_released_due_to_lack_of_capacity,total_#_of_sent._released_due_to_lack_of_capacity,total_#_juveniles_(per_wic_707),total_#_released_between_6_am_before_5pm,total_#_released_between_5_pm_before_11pm,total_#_released_between_11_pm_before_6am,total_#_of_pc_1170(h)(1)_sentenced_new_commitment,total_#_of_pc1170(h)_placed_alternative_in_custody,total_#_of_pc_1170(h)_in_alternative_custody_returned_to_custody,total_#_of_prcs_booked_on_a_flash_incarceration,total_#_of_prcs_booked_pursuant_to_pc_3455(a),total_#_of_prcs_booked_with_a_new_local_charge(s),total_#_of_prcs_received_jail_time_due_to_revocation_hearing,total_#_of_state_parolees_booked_on_a_pc_3056(a)_violation,total_#_of_state_parolees_who_received_jail_time_due_to_parole_revocation,total_#_of_state_parolees_who_were_booked_on_any_new_offense(s),total_#_of_state_parolees_sentenced_on_a_new_local_offense
2024-09-30,Los Angeles Sheriff's Dept.,8624,1003,2548,370,12545,8847,2431,11278,780,487,1267,09/05/2024,13046,-,-,-,4779,1954,4403,4749,9578,7988,423,607,441,190,0,0,0,0,290,24,4846,342,376,,2106,599,173,148,0,0,2,28,54,,278,,,
2024-09-30,Madera Corrections Dept.,375,48,3,0,426,406,2,408,17,1,18,09/29/2024,450,-,-,-,,,,0,584,71,,35,0,1,0,0,0,0,1,1,383,0,0,0,197,74,81,2,2,0,4,2,7,0,4,0,7,0
2024-09-30,Marin Sheriff's Dept.,201,27,40,5,273,183,36,219,45,9,54,09/29/2024,281,-,-,-,45,77,59,50,134,31,6,29,0,3,0,1,0,0,1,0,471,0,0,0,244,76,144,0,0,0,1,1,5,1,1,0,0,0
2024-09-30,Mariposa Sheriff's Dept.,22,1,8,3,34,22,9,31,1,2,3,09/16/2024,43,-,-,-,7,2,10,0,32,7,7,1,0,1,0,2,0,1,0,0,61,0,0,0,52,6,10,0,0,0,2,0,1,1,0,0,0,0
2024-09-30,Mendocino Sheriff's Dept.,133,26,57,5,221,47,26,73,112,36,148,09/21/2024,236,-,-,-,35,43,117,,472,384,2,0,,16,,,,,10,,288,87,,,272,108,31,0,0,0,1,16,13,9,12,9,7,0
2024-09-30,Merced Sheriff's Dept.,425,43,1,0,469,468,1,469,0,0,0,09/03/2024,736,-,-,-,313,199,186,402,879,377,51,50,0,40,0,0,0,0,4,0,422,0,0,0,322,190,51,,,,,,,,,,,
2024-09-30,Modoc Sheriff's Dept.,12,3,6,1,22,14,5,19,1,2,3,09/08/2024,29,-,-,-,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,39,7,0,0,29,6,7,0,0,0,0,0,0,0,1,0,0,0
2024-09-30,Mono Sheriff's Dept.,15,1,4,1,21,12,3,15,4,2,6,09/10/2024,26,-,-,-,0,0,6,0,3,22,1,2,0,0,0,0,0,0,1,0,48,0,0,0,41,5,6,1,0,0,0,0,0,0,0,0,0,0
2024-09-30,Monterey Sheriff's Dept.,507,39,259,49,854,522,279,801,24,29,53,09/29/2024,891,-,-,-,498,50,247,11,469,335,54,297,0,16,0,0,0,0,8,0,906,0,0,0,284,251,106,21,0,0,0,13,23,41,3,3,20,21
2024-09-30,Napa Corrections Dept.,133,15,61,8,217,141,58,199,7,11,18,9/2/2024,238,-,-,-,57,15,64,3,430,170,7,16,1,11,0,0,0,0,7,0,271,104,0,0,166,43,44,2,0,0,1,0,8,8,0,1,4,2
2024-09-30,Nevada Sheriff's Dept.,122,19,12,4,157,136,13,149,5,3,8,09/02/2024,157,-,-,-,46,15,57,,474,207,19,22,3,,,37,,6,9,,245,,,,175,54,31,0,0,0,1,0,2,1,1,0,2,0
2024-09-30,Orange Sheriff's Dept.,2339,243,970,168,3720,2090,605,2695,492,533,1025,09/29/2024,3878,-,-,-,2028,232,1220,157,11047,7380,301,953,8,85,,0,,,41,12,3595,0,0,0,1590,966,885,91,2,0,13,80,56,120,117,17,120,30
2024-09-30,Placer Sheriff's Dept.,540,87,161,43,831,356,117,473,271,87,358,9/30/2024,849,-,-,-,298,304,298,30,606,644,12,101,41,15,0,0,0,0,12,0,855,94,39,0,310,188,171,38,0,0,2,9,5,12,7,4,13,0
2024-09-30,Plumas Sheriff's Dept.,14,4,12,2,32,12,12,24,6,2,8,09/01/2024,42,-,-,-,,,6,1,91,12,2,0,1,1,0,0,0,0,3,1,42,0,0,0,49,1,4,0,0,0,0,2,0,0,1,0,0,0
2024-09-30,Riverside Sheriff's Dept.,3012,340,380,54,3786,3246,414,3660,106,20,126,09/02/2024,3858,-,-,-,2003,1167,448,483,8874,3334,489,231,0,63,0,0,0,0,184,4,4719,439,459,0,1705,1393,1204,93,1,1,66,111,90,133,204,56,88,10
2024-09-30,Sacramento Sheriff's Dept.,2194,248,652,98,3192,2335,651,2986,107,99,206,09/07/2024,3281,-,-,-,2734,539,1732,14,3543,2506,90,694,19,4,0,116,71,0,5,10,2507,0,0,0,1499,514,359,28,0,0,93,27,66,0,60,0,52,14
2024-09-30,San Benito Sheriff's Dept.,73,12,13,1,99,75,9,84,10,5,15,09/13/2024,106,-,-,-,45,21,34,0,298,19,3,12,0,1,0,0,0,0,0,0,154,17,1,,93,16,17,0,0,0,0,0,1,1,0,0,1,3
2024-09-30,San Bernardino Sheriff's Dept.,3403,459,423,49,4334,2731,331,3062,1131,141,1272,09/30/2024,4464,-,-,-,2964,2550,950,456,18335,7571,462,1319,55,48,0,58,,0,,15,4803,0,0,0,1793,1439,1453,75,0,0,25,59,40,99,40,3,25,25
2024-09-30,San Diego Sheriff's Dept.,2171,322,1273,192,3958,2404,1382,3786,89,83,172,9/2/2024,4025,-,-,-,1947,424,1666,31,19001,5205,190,390,55,82,,,,,7,61,4263,0,391,,1919,1115,705,91,0,0,63,214,82,104,137,38,72,8
2024-09-30,San Diego Work Furlough,6,1,224,54,285,,,0,,,0,09/28/2024,287,-,-,-,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,91,0,0,0,50,16,28,0,0,0,0,0,0,0,0,0,0,0
2024-09-30,San Francisco Sheriff's Dept.,926,76,163,13,1178,927,163,1090,75,13,88,09/30/2024,1255,-,-,-,567,268,379,230,3362,1858,65,78,86,28,0,14,0,0,1,2,1194,0,0,0,301,280,160,6,0,0,1,3,15,2,18,3,25,1
2024-09-30,San Joaquin Sheriff's Dept.,926,131,246,29,1332,1014,240,1254,43,35,78,09/03/2024,1375,-,-,-,758,132,520,162,3505,354,71,92,21,7,0,0,0,0,295,0,1489,282,82,0,1070,488,64,11,0,0,0,24,22,36,23,7,24,7
2024-09-30,San Luis Obispo Sheriff's Dept.,224,32,165,21,442,217,157,374,39,29,68,09/25/2024,455,-,-,-,346,96,335,,3436,305,39,67,,5,,0,4,,12,0,678,0,124,0,393,106,132,6,0,0,1,6,11,0,7,0,1,0
2024-09-30,San Mateo Sheriff's Dept.,647,68,200,40,955,670,219,889,45,21,66,09/29/2024,982,-,-,-,,,,,,,,,,11,0,1,0,0,19,0,952,0,0,0,372,316,116,11,0,0,1,15,10,12,6,3,18,0
2024-09-30,Santa Barbara Sheriff's Dept.,459,65,192,22,738,460,175,635,64,39,103,09/03/2024,864,-,-,-,,,,,615,204,21,98,,,,,,,,,998,,,0,,,,,,,,,,,,,,
2024-09-30,Santa Clara Sheriff’s Office,2310,252,272,19,2853,2331,246,2577,231,45,276,09/04/2024,2912,-,-,-,,,,,,,,,,16,0,0,0,0,22,3,2681,0,0,0,1120,524,737,19,2,0,4,20,40,8,24,11,35,18
2024-09-30,Santa Cruz Sheriff's Dept.,199,23,64,6,292,36,11,47,186,59,245,09/03/2024,325,-,-,-,101,22,101,7,921,199,6,75,2,7,,,,,3,2,560,0,0,0,342,106,71,6,0,0,1,3,15,6,5,1,10,1
2024-09-30,Shasta Sheriff's Dept.,231,43,97,27,398,269,121,390,5,3,8,09/29/2024,417,-,-,-,331,63,46,0,188,70,4,21,0,8,13,0,,,31,0,683,10,2,,305,138,97,4,3,2,0,8,8,7,18,4,17,1
2024-09-30,Siskiyou Sheriff's Dept.,90,13,4,0,107,98,4,102,5,0,5,09/22/2024,115,-,-,-,62,23,59,0,230,52,3,0,3,3,0,0,0,0,2,0,202,34,9,0,130,39,26,0,0,0,0,2,2,0,7,2,5,0
2024-09-30,Solano Sheriff's Dept.,396,55,71,8,530,362,65,427,89,14,103,09/02/2024,561,-,-,-,333,101,204,0,2527,991,16,63,0,7,0,0,0,46,15,0,911,0,0,0,462,337,135,9,0,0,0,9,20,10,8,0,0,0
2024-09-30,Sonoma Sheriff's Dept.,430,53,161,30,674,439,168,607,44,23,67,09/30/2024,791,-,-,-,395,236,355,290,792,91,11,34,0,12,45,,,,9,23,1072,0,0,0,651,165,154,9,0,0,3,9,20,13,7,8,12,0
2024-09-30,Stanislaus Sheriff's Dept.,895,133,338,58,1424,989,338,1327,39,58,97,09/03/2024,1494,-,-,-,471,255,320,57,1491,416,63,95,2,31,,,,,17,1,1557,624,0,0,796,289,561,20,0,0,5,27,26,32,22,13,28,15
2024-09-30,Sutter Sheriff's Dept.,162,37,7,2,208,115,5,120,84,4,88,09/16/2024,223,-,-,-,90,97,,11,78,155,8,16,0,0,0,0,5,0,,,388,0,0,0,201,121,51,0,0,0,2,8,6,5,1,2,3,0
2024-09-30,Tehama Sheriff's Dept.,73,10,16,3,102,82,14,96,1,5,6,09/04/2024,109,-,-,-,11,2,26,0,361,65,3,10,0,1,0,0,0,0,1,0,162,0,27,0,80,28,38,26,24,0,0,0,4,0,5,0,1,0
2024-09-30,Trinity Sheriff's Dept.,33,9,3,0,45,30,3,33,12,0,12,09/12/2024,45,-,-,-,7,3,14,2,36,36,7,6,0,2,0,0,0,0,3,0,39,24,0,0,29,8,0,0,0,0,0,1,0,2,0,0,1,0
2024-09-30,Tulare Sheriff's Dept.,759,89,288,62,1198,805,312,1117,43,38,81,09/01/2024,1232,-,-,-,,,,0,,,8,,,18,0,0,0,0,42,0,1325,498,0,0,711,234,303,4,0,0,3,7,24,27,11,1,16,7
2024-09-30,Tuolumne Sheriff's Dept.,77,27,37,12,153,,,0,,,0,09/01/2024,159,-,-,-,96,14,34,,170,79,4,13,,,1,0,0,0,0,0,192,0,0,0,,,,0,0,0,2,1,4,6,2,1,4,2
2024-09-30,Ventura Sheriff's Dept.,730,108,387,71,1296,718,383,1101,120,75,195,09/04/2024,1342,-,-,-,716,303,382,,583,1157,111,178,,,,,,,,2,1839,,0,,1055,649,102,18,,,73,58,97,44,53,0,58,13
2024-09-30,Yolo Sheriff's Dept.,206,29,60,8,303,206,61,267,29,7,36,9/16/2024,312,-,-,-,208,70,111,6,642,201,14,14,0,0,0,0,0,1,8,0,552,0,0,0,,,,8,5,0,0,16,5,3,6,,,9
2024-09-30,Yuba Sheriff's Dept.,240,39,42,5,326,240,39,279,39,8,47,09/01/2024,345,-,-,-,225,66,,0,493,223,8,49,0,0,0,0,66,0,,0,399,0,0,0,166,97,164,0,0,0,2,18,9,11,2,0,16,8
