report_date,jurisdiction_name,adp_nonsentenced_male,adp_nonsentenced_female,adp_sentenced_male,adp_sentenced_female,adp_total,adp_nonsentenced_felony,adp_sentenced_felony,adp_felony_total,adp_nonsentenced_misdemeanor,adp_sentenced_misdemeanor,adp_misdemeanor_total,date_of_highest_pop,highest_one_day_pop,adp_max_security,adp_med_security,adp_min_security,mental_health_cases_opened_last_day_of_month,new_mental_health_cases_opened_during_this_month,"inmates_receiving_psych_medication,last_day_of_month",inmates_assigned_to_mental_health_beds_last_day_of_month,total_#_seen_at_inmate_sick_call,physician/practitioner_occurrences_this_month,off_site_medical_appointments_this_month,dental_encounters_this_month,total_#_assigned_to_medical_beds_last_day_of_the_month,avg_#_inmates_not_assigned_to_housing,avg_#_in_contract_beds_in_other_public/private_institutions,avg_#_of_federal_inmates_housed_in_your_system_on_contract,avg_#_of_state_inmates_housed_on_contract,avg_#_from_other_counties_housed_on_contract.,avg_#_of_inmates_sent._and_awaiting_transport_to_state_prison,avg_#_of_inmates_in_hospital(s)_outside_of_facilities,total_#_booked,total_#_of_pretrial_released_due_to_lack_of_capacity,total_#_of_sent._released_due_to_lack_of_capacity,total_#_juveniles_(per_wic_707),total_#_released_between_6_am_before_5pm,total_#_released_between_5_pm_before_11pm,total_#_released_between_11_pm_before_6am,total_#_of_pc_1170(h)(1)_sentenced_new_commitment,total_#_of_pc1170(h)_placed_alternative_in_custody,total_#_of_pc_1170(h)_in_alternative_custody_returned_to_custody,total_#_of_prcs_booked_on_a_flash_incarceration,total_#_of_prcs_booked_pursuant_to_pc_3455(a),total_#_of_prcs_booked_with_a_new_local_charge(s),total_#_of_prcs_received_jail_time_due_to_revocation_hearing,total_#_of_state_parolees_booked_on_a_pc_3056(a)_violation,total_#_of_state_parolees_who_received_jail_time_due_to_parole_revocation,total_#_of_state_parolees_who_were_booked_on_any_new_offense(s),total_#_of_state_parolees_sentenced_on_a_new_local_offense
2024-07-31,Humboldt Sheriff's Dept.,165,30,51,5,251,178,56,234,17,0,17,07/20/2024,267,-,-,-,140,126,102,,1040,245,5,17,4,6,,0,,,8,0,550,0,34,,300,134,112,6,0,0,0,11,8,11,5,2,9,3
2024-07-31,Imperial Sheriff's Dept.,167,24,124,18,333,168,122,290,23,20,43,07/02/2024,358,-,-,-,205,54,205,15,681,415,17,26,19,0,0,3,0,0,10,0,319,0,0,0,169,89,63,4,0,0,0,11,0,0,9,0,0,0
2024-07-31,Inyo Sheriff's Dept.,38,6,13,2,59,36,15,51,8,0,8,7/06/2024,65,-,-,-,24,4,16,,130,38,1,0,,0,0,0,0,0,0,0,56,0,0,0,31,4,24,0,0,0,0,1,0,0,0,0,0,0
2024-07-31,Kern Sheriff's Dept.,1340,163,199,19,1721,1378,195,1573,125,23,148,07/22/2024,1829,-,-,-,1005,324,528,94,2954,92,304,52,34,34,,33,,,86,5,2301,740,240,,1074,655,599,22,61,11,2,41,162,4,19,1,70,29
2024-07-31,Kings Sheriff's Dept.,253,20,62,11,346,252,43,295,21,30,51,07/28/2024,355,-,-,-,252,70,171,17,1023,319,6,0,10,,0,0,0,1,5,0,365,0,0,0,,,,10,,,0,4,11,6,7,5,11,5
2024-07-31,Lake Sheriff's Dept.,126,26,64,12,228,137,55,192,15,21,36,7/1/2024,254,-,-,-,42,24,77,,532,11,6,33,,0,0,0,0,0,13,13,339,0,0,0,241,105,34,2,0,0,1,0,0,1,1,2,4,3
2024-07-31,Lassen Sheriff's Dept.,71,7,4,5,87,60,8,68,18,1,19,07/01/2024,93,-,-,-,17,6,17,0,199,8,8,0,0,0,0,0,0,0,0,0,82,0,0,0,46,27,15,0,0,0,0,0,0,1,1,0,0,0
2024-07-31,Los Angeles Sheriff's Dept.,8452,979,2668,342,12441,8710,2534,11244,721,476,1197,07/31/2024,12750,-,-,-,4731,2059,4108,4707,12039,9159,524,538,423,169,0,0,0,0,233,25,5509,328,438,,2175,716,182,191,0,0,3,37,54,,281,,,
2024-07-31,Madera Corrections Dept.,368,45,0,0,413,413,0,413,0,0,0,07/02/2024,450,-,-,-,,,,0,558,39,,42,0,1,0,0,0,0,1,1,389,0,0,0,232,78,91,11,4,0,6,9,12,0,4,0,11,0
2024-07-31,Marin Sheriff's Dept.,191,15,39,7,252,174,35,209,32,11,43,07/04/2024,258,-,-,-,50,97,52,60,130,36,5,38,0,12,0,1,0,0,1,2,463,0,0,0,249,71,143,0,0,0,0,3,1,2,1,0,0,0
2024-07-31,Mariposa Sheriff's Dept.,22,4,5,2,33,25,6,31,1,1,2,07/06/2024,40,-,-,-,8,2,11,0,44,4,4,1,0,1,0,2,0,0,0,0,37,0,0,0,30,4,6,0,0,0,1,0,1,2,0,0,0,0
2024-07-31,Mendocino Sheriff's Dept.,130,24,54,9,217,64,22,86,90,41,131,07/09/2024,229,-,-,-,49,20,91,,314,271,11,0,,16,,,,,4,,285,97,,,275,61,17,0,0,0,0,19,14,17,8,7,7,3
2024-07-31,Merced Sheriff's Dept.,417,43,2,0,462,460,2,462,0,0,0,07/24/2024,724,-,-,-,375,223,167,375,833,223,43,39,0,48,0,0,0,0,11,0,590,0,0,0,316,198,51,,,,,,,,,,,
2024-07-31,Modoc Sheriff's Dept.,20,5,2,0,27,23,2,25,2,0,2,07/10/2024,32,-,-,-,10,2,10,0,4,10,2,2,0,10,0,0,0,0,0,1,66,0,0,0,47,8,6,1,0,0,1,6,1,1,0,0,0,0
2024-07-31,Mono Sheriff's Dept.,12,5,7,1,25,13,5,18,4,3,7,07/14/2024,32,-,-,-,12,1,10,0,7,6,1,1,0,0,0,0,0,0,1,0,45,0,0,0,34,5,13,0,0,0,0,0,0,0,0,0,0,0
2024-07-31,Monterey Sheriff's Dept.,503,45,254,43,845,522,264,786,26,33,59,07/07/2024,891,-,-,-,501,102,260,10,372,368,63,329,0,16,0,0,0,0,18,0,851,0,0,0,351,234,85,12,0,0,1,18,19,51,6,6,16,19
2024-07-31,Napa Corrections Dept.,136,23,64,11,234,148,71,219,11,4,15,7/22/2024,248,-,-,-,71,27,71,4,488,170,8,12,1,12,0,0,0,0,13,0,318,106,3,0,181,64,47,2,0,0,0,1,3,8,1,5,4,1
2024-07-31,Nevada Sheriff's Dept.,117,20,14,6,157,131,14,145,6,6,12,07/27/2024,162,-,-,-,46,15,54,0,600,248,18,22,3,,,31,,4,7,,273,,,,182,54,45,2,0,0,0,2,1,2,5,2,1,0
2024-07-31,Orange Sheriff's Dept.,2243,249,956,169,3617,2063,613,2676,429,512,941,07/21/2024,3712,-,-,-,1957,197,1196,173,11418,8005,293,1082,11,84,,0,,,33,10,3740,0,0,0,1757,1124,853,94,3,0,12,83,60,123,102,25,113,38
2024-07-31,Placer Sheriff's Dept.,533,62,145,38,778,338,106,444,257,77,334,7/29/2024,802,-,-,-,266,272,266,29,510,651,10,116,33,13,0,0,0,0,12,0,790,24,1,0,310,123,153,31,0,0,2,6,3,9,6,2,7,0
2024-07-31,Plumas Sheriff's Dept.,21,6,16,2,45,19,15,34,8,3,11,07/07/2024,51,-,-,-,,,8,1,122,20,4,0,1,1,1,0,0,0,2,1,64,0,0,0,55,9,6,0,0,0,0,0,1,0,0,0,0,0
2024-07-31,Riverside Sheriff's Dept.,3006,335,402,49,3792,3273,432,3705,68,19,87,07/07/2024,3846,-,-,-,1966,1247,481,464,9555,3812,464,312,0,70,0,0,0,0,186,4,4979,448,455,0,1768,1396,1317,66,1,1,52,132,93,140,187,64,84,13
2024-07-31,Sacramento Sheriff's Dept.,2138,235,745,119,3237,2274,776,3050,99,88,187,07/07/2024,3277,-,-,-,2208,567,1695,14,3738,2633,98,772,15,4,0,116,65,0,4,1,2560,0,0,0,1617,598,378,34,0,0,97,38,44,0,65,0,46,7
2024-07-31,San Benito Sheriff's Dept.,77,13,14,0,104,80,10,90,10,4,14,07/24/2024,117,-,-,-,42,12,26,0,336,16,6,14,0,1,0,0,0,0,0,0,145,6,1,,77,22,21,1,0,0,0,3,4,2,2,2,1,1
2024-07-31,San Bernardino Sheriff's Dept.,3351,288,374,64,4077,2604,320,2924,1035,118,1153,07/31/2024,4467,-,-,-,2942,2637,915,490,19553,8767,455,1349,60,74,0,62,,0,,18,5108,0,1,0,1767,1832,1391,85,0,0,36,74,52,126,48,9,32,30
2024-07-31,San Diego Sheriff's Dept.,2171,324,1244,194,3933,2396,1351,3747,99,87,186,07/28/2024,4003,-,-,-,2426,1554,1595,27,19228,4756,142,229,59,85,,,,,6,71,4530,0,424,,2040,1205,797,84,0,0,65,243,102,119,163,47,85,13
2024-07-31,San Diego Work Furlough,6,2,265,65,338,,,0,,,0,07/27/2024,353,-,-,-,,,,,,,,,,0,0,252,0,0,0,0,85,0,0,0,56,16,35,0,0,0,0,0,0,0,0,0,0,0
2024-07-31,San Francisco Sheriff's Dept.,918,88,161,15,1182,930,163,1093,76,13,89,07/05/2024,1242,-,-,-,510,279,366,125,3816,2175,67,87,86,30,0,6,0,0,5,3,1175,0,0,0,309,304,172,6,0,0,6,4,9,5,14,11,24,2
2024-07-31,San Joaquin Sheriff's Dept.,917,118,221,32,1288,993,224,1217,42,29,71,07/01/2024,1329,-,-,-,382,233,256,44,969,468,96,87,42,7,0,0,0,0,250,0,1618,300,93,0,1190,570,62,13,0,0,1,18,25,25,11,5,27,12
2024-07-31,San Luis Obispo Sheriff's Dept.,212,35,168,15,430,221,157,378,26,26,52,07/18/2024,441,-,-,-,342,102,258,,3324,344,33,63,,6,,0,6,,6,0,699,0,103,0,399,100,159,6,0,0,0,2,5,0,5,1,0,1
2024-07-31,San Mateo Sheriff's Dept.,653,85,236,28,1002,678,255,933,60,9,69,07/28/2024,1037,-,-,-,,,,,,,,,,12,0,4,0,0,39,0,974,0,0,0,376,317,143,16,0,0,0,22,12,19,19,8,19,0
2024-07-31,Santa Barbara Sheriff's Dept.,488,60,196,20,764,484,163,647,64,53,117,07/31/2024,878,-,-,-,,,,,793,199,9,104,,,,,,,,,1630,,,0,,,,,,,,,,,,,,
2024-07-31,Santa Clara Sheriff’s Office,2321,280,238,29,2868,2368,223,2591,233,44,277,07/08/2024,2925,-,-,-,,,,,,,,,,19,0,0,0,0,10,5,3059,0,0,0,1186,652,807,16,4,0,8,9,58,12,26,13,45,25
2024-07-31,Santa Cruz Sheriff's Dept.,217,29,53,1,300,43,9,52,203,45,248,07/15/2024,344,-,-,-,168,124,151,8,1073,323,9,38,2,7,,,,,5,0,644,0,0,0,409,127,90,5,0,0,3,3,14,6,2,0,9,0
2024-07-31,Shasta Sheriff's Dept.,230,44,97,22,393,270,119,389,4,0,4,07/21/2024,401,-,-,-,229,100,76,0,138,231,4,0,0,7,10,0,,,35,0,764,10,3,,349,160,97,7,2,1,0,5,18,14,21,6,12,6
2024-07-31,Siskiyou Sheriff's Dept.,87,14,2,0,103,101,2,103,0,0,0,07/15/2024,111,-,-,-,50,20,46,0,192,27,3,2,3,2,0,0,0,0,3,0,227,24,8,0,160,49,18,0,0,0,0,0,0,0,2,1,0,0
2024-07-31,Solano Sheriff's Dept.,403,53,59,9,524,371,60,431,85,8,93,07/01/2024,550,-,-,-,339,134,189,0,2600,1063,12,49,0,7,0,0,0,53,22,0,995,0,0,0,555,345,131,11,0,0,3,4,28,9,9,0,0,0
2024-07-31,Sonoma Sheriff's Dept.,398,53,152,28,631,415,162,577,36,18,54,07/08/2024,740,-,-,-,351,213,330,261,659,131,12,50,0,11,48,,,,17,27,1086,0,0,0,731,171,137,16,0,0,3,5,15,13,7,13,12,1
2024-07-31,Stanislaus Sheriff's Dept.,851,129,340,55,1375,943,350,1293,37,45,82,07/02/2024,1464,-,-,-,467,266,331,57,1471,383,47,115,3,33,,,,,28,0,1595,623,0,0,787,368,598,22,0,0,11,22,21,34,30,8,25,8
2024-07-31,Sutter Sheriff's Dept.,171,37,7,1,216,120,5,125,88,3,91,07/08/2024,229,-,-,-,89,112,,8,102,166,4,19,0,0,0,0,3,1,8,25,371,0,0,0,186,135,56,0,0,0,8,6,4,1,0,0,2,0
2024-07-31,Tehama Sheriff's Dept.,81,8,12,3,104,,,0,,,0,07/13/2024,114,-,-,-,15,3,34,0,441,75,8,5,0,2,0,0,0,0,1,0,224,0,41,0,102,44,61,44,43,1,0,2,0,0,3,0,1,0
2024-07-31,Trinity Sheriff's Dept.,46,11,0,0,57,42,0,42,15,0,15,07/24/2024,57,-,-,-,9,4,19,1,50,50,8,10,0,2,0,0,0,0,1,0,45,32,0,0,20,12,0,0,0,0,0,0,0,2,0,0,0,0
2024-07-31,Tulare Sheriff's Dept.,742,85,256,49,1132,786,271,1057,41,34,75,07/21/2024,1182,-,-,-,,,,0,,,2,,12,17,0,0,0,0,17,1,1477,542,0,0,736,264,335,7,0,0,2,8,41,31,9,1,30,0
2024-07-31,Tuolumne Sheriff's Dept.,69,19,35,15,138,,,0,,,0,07/03/2024,149,-,-,-,88,10,43,,112,79,1,0,,,1,0,0,0,0,0,213,0,0,0,,,,0,0,0,1,1,7,1,2,2,3,1
2024-07-31,Ventura Sheriff's Dept.,714,109,388,86,1297,692,400,1092,131,74,205,07/30/2024,1327,-,-,-,696,195,358,,664,1364,92,166,,,,,,,,3,2030,,0,,1100,851,99,24,,,100,49,95,44,63,3,63,9
2024-07-31,Yolo Sheriff's Dept.,196,27,47,6,276,195,46,241,28,7,35,07/01/2024,299,-,-,-,198,59,61,8,616,198,7,13,1,0,0,0,0,2,6,0,561,0,0,0,,,,7,0,0,0,6,4,0,11,9,6,0
2024-07-31,Yuba Sheriff's Dept.,246,38,34,10,328,240,36,276,44,8,52,07/19/2024,349,-,-,-,227,50,133,0,791,483,,49,6,0,0,0,70,0,,0,439,0,0,0,167,107,150,0,0,0,3,7,6,5,4,1,8,1
